category,species,count
Arachnida,eburnus,1
Arachnida,ecclesiasticus,3
Arachnida,edulis,2
Arachnida,elegans,2
Arachnida,elevatus,4
Arachnida,elongata,3
Arachnida,emarginatae,5
Arachnida,epicureanus,1
Arachnida,eutylenum,1
Arachnida,extensa,6
Arachnida,fasciger,2
Arachnida,fastigata,5
Arachnida,fenestrata,2
Arachnida,ferox,3
Arachnida,fimbriatus,4
Arachnida,florens,2
Arachnida,florentina,2
Arachnida,florida,2
Arachnida,floridanus,2
Arachnida,formosa,4
Arachnida,formosipes,5
Arachnida,formosus,1
Arachnida,fornicata,1
Arachnida,forticeps,1
Arachnida,fuchsiae,3
Arachnida,fuliginata,1
Arachnida,fuliginea,2
Arachnida,gabeli,2
Arachnida,galathea,2
Arachnida,geminata,1
Arachnida,geometricus,6
Arachnida,gertschi,1
Arachnida,giganteus,5
Arachnida,globosum,2
Arachnida,glomosus,2
Arachnida,gracilis,17
Arachnida,graeffei,1
Arachnida,grossa,4
Arachnida,hasselti,7
Arachnida,helluo,5
Arachnida,hentzi,14
Arachnida,hesperus,47
Arachnida,hibernalis,5
Arachnida,immanis,1
Arachnida,inclemens,13
Arachnida,inclusum,2
Arachnida,insignis,1
Arachnida,iodius,57
Arachnida,irminia,1
Arachnida,johnnycashi,2
Arachnida,johnsoni,20
Arachnida,jucunda,1
Arachnida,keyserlingi,1
Arachnida,klaasi,1
Arachnida,kochi,2
Arachnida,kollari,1
Arachnida,kuhli,21
Arachnida,labyrinthica,12
Arachnida,leai,9
Arachnida,leiosoma,1
Arachnida,leishmanni,1
Arachnida,lemniscata,4
Arachnida,ligurina,1
Arachnida,lineata,1
Arachnida,litigiosa,9
Arachnida,littoralis,4
Arachnida,lobata,3
Arachnida,longinqua,8
Arachnida,longipes,1
Arachnida,longitarsis,19
Arachnida,lyoni,1
Arachnida,lyrica,1
Arachnida,mackiei,1
Arachnida,macrorhyncha,3
Arachnida,mactans,19
Arachnida,malabarensis,1
Arachnida,manicatus,1
Arachnida,marmoreus,4
Arachnida,marxi,1
Arachnida,maurus,2
Arachnida,maxima,6
Arachnida,melanocephala,1
Arachnida,melanurum,1
Arachnida,menardi,1
Arachnida,mesaensis,3
Arachnida,mexicanus,7
Arachnida,militaris,7
Arachnida,milleti,1
Arachnida,minax,3
Arachnida,minor,1
Arachnida,mira,19
Arachnida,mirabilis,7
Arachnida,mitificus,1
Arachnida,mitrata,4
Arachnida,moesta,1
Arachnida,moluccensis,11
Arachnida,monteiri,2
Arachnida,mordax,31
Arachnida,mormon,1
Arachnida,multipuncta,9
Arachnida,muscosa,1
Arachnida,navus,1
Arachnida,nelli,2
Arachnida,nemoralis,1
Arachnida,niger,4
Arachnida,nobilis,1
Arachnida,nordmanni,5
Arachnida,oaxacensis,10
Arachnida,oblongus,1
Arachnida,occidentalis,12
Arachnida,occitanus,1
Arachnida,onustus,2
Arachnida,opilio,11
Arachnida,orbiculatus,1
Arachnida,oregonensis,5
Arachnida,orizabensis,1
Arachnida,pacificus,3
Arachnida,packardi,1
Arachnida,pallidus,1
Arachnida,palmarum,1
Arachnida,parapopuli,2
Arachnida,parulmi,1
Arachnida,paykulli,8
Arachnida,peregrinus,1
Arachnida,perita,1
Arachnida,petersi,1
Arachnida,phaiodactylus,3
Arachnida,phalangioides,29
Arachnida,pilipes,18
Arachnida,piraticus,2
Arachnida,placida,4
Arachnida,plataleoides,2
Arachnida,pluchei,2
Arachnida,plumipes,3
Arachnida,pratensis,1
Arachnida,princeps,3
Arachnida,propinquus,1
Arachnida,pulchella,1
Arachnida,pulex,14
Arachnida,punctulata,1
Arachnida,pyramitela,10
Arachnida,quadratus,2
Arachnida,quinquestriatus,2
Arachnida,rabida,12
Arachnida,radiata,2
Arachnida,raudus,1
Arachnida,ravilla,6
Arachnida,reddelli,1
Arachnida,redii,1
Arachnida,reduncus,1
Arachnida,relata,1
Arachnida,ricinus,1
Arachnida,riversi,17
Arachnida,rufa,2
Arachnida,rufescens,3
Arachnida,rufipes,1
Arachnida,rufus,2
Arachnida,sagittata,2
Arachnida,salticus,4
Arachnida,scalaris,6
Arachnida,scapularis,17
Arachnida,scenicus,13
Arachnida,schreibersi,1
Arachnida,schroederi,1
Arachnida,schultzi,1
Arachnida,sclopetarius,6
Arachnida,scriptus,6
Arachnida,sculpturatus,4
Arachnida,semicupreus,10
Arachnida,semilimbatus,12
Arachnida,senegalensis,2
Arachnida,silvestrii,1
Arachnida,spinigerus,1
Arachnida,spinimana,1
Arachnida,spitzeri,1
Arachnida,steindachneri,2
Arachnida,stellata,2
Arachnida,striata,4
Arachnida,subfusca,1
Arachnida,sylvanus,5
Arachnida,tabulata,1
Arachnida,taeniola,3
Arachnida,tamulus,2
Arachnida,tarantulinus,1
Arachnida,tenebrosus,20
Arachnida,tenuis,1
Arachnida,tepidariorum,11
Arachnida,tetanothrix,3
Arachnida,thoracica,1
Arachnida,thoracicus,1
Arachnida,tigrina,1
Arachnida,tiliae,3
Arachnida,toolbrunup,1
Arachnida,tredecimguttatus,1
Arachnida,triangulosa,9
Arachnida,trifasciata,34
Arachnida,trifolium,17
Arachnida,trigonum,2
Arachnida,triton,12
Arachnida,troglodytes,1
Arachnida,turbinata,4
Arachnida,umbratica,5
Arachnida,undatus,16
Arachnida,variabilis,30
Arachnida,variolus,5
Arachnida,vatia,44
Arachnida,venatoria,6
Arachnida,ventralis,1
Arachnida,ventricosum,3
Arachnida,venusta,27
Arachnida,verrucosum,3
Arachnida,versicolor,1
Arachnida,viridans,19
Arachnida,viridis,10
Arachnida,vitis,2
Arachnida,vittata,8
Arachnida,vittatum,9
Arachnida,vittatus,26
Arachnida,wahlbergii,1
Arachnida,westralia,1
Arachnida,whitmani,2
Arachnida,x-notata,3
